ENSEMBLE,COMPOSER,WORK
Austin,"Salieri, Antonio",Sinfonia in D major (Veneziana)
National,"Salonen, Esa-Pekka",Fog
National,"Salonen, Esa-Pekka",Karawane
Pittsburgh,"Salonen, Esa-Pekka",Lachen Verlernt
San Diego,"Salonen, Esa-Pekka",Nyx
San Francisco,"Salonen, Esa-Pekka",Gemini
Long Beach,"Sanlucar, Manolo","Concerto for Guitar, from Medea"
Atlanta,"Sarasate, Pablo de",Carmen Fantasy
Charleston,"Sarasate, Pablo de",Carmen Fantasy
Charleston,"Sarasate, Pablo de",Zigeunerweisen
San Francisco,"Sarasate, Pablo de",Carmen Fantasy
New York,"Satie, Erik (arr. Debussy, Claude)",Gynopédie No. 1
Milwaukee,"Satoh, Somei",Saga
Orpheus,"Say, Fazil",Chamber Symphony op. 62
Orpheus,"Say, Fazil","Yürüyen Köşk, op. 72b"
Buffalo,"Schiff, David",Four Sisters: Concerto for Jazz Violin and Orchestra
Chicago,"Schifrin, Lalo",Theme from Mission Impossible
Chicago,"Schifrin, Lalo",Tuba Concerto
Dallas,"Schmidt, Franz",Symphony No. 4
Houston,"Schmidt, Franz",The Book with Seven Seals
Houston,"Schmitt, Florent",The Tragedy of Salome Suite
Indianapolis,"Schmitt, Florent",The Tragedy of Salome Suite
St. Louis,"Schmitt, Florent",The Tragedy of Salome Suite
San Antonio,"Schnittke, Alfred",Moz-Art à la Haydn
Stamford,"Schnittke, Alfred",Moz-Art à la Haydn
Atlanta,"Schoenberg, Adam",Concerto for Orchestra
Pasadena,"Schoenberg, Adam",Finding Rothko
Stamford,"Schoenberg, Adam",Finding Rothko
Wichita,"Schoenberg, Adam",SCATTER for Trio and orchestra (feat. PROJECT trio)
Charlotte,"Schoenberg, Arnold",Verklärte Nacht
Los Angeles,"Schoenberg, Arnold",Verklärte Nacht
New York,"Schoenberg, Arnold",Verklärte Nacht
South Dakota,"Schoenberg, Arnold",Verklärte Nacht
Utah,"Schoenberg, Arnold",Chamber Symphony No. 1
Utah,"Schoenberg, Arnold",Chamber Symphony No. 2
Milwaukee,"Schreker, Franz",Chamber Symphony
Minnesota,"Schreker, Franz",Chamber Symphony
Alabama,"Schubert, Franz",Symphony No. 8 (unfinished)
Ann Arbor,"Schubert, Franz",Symphony No. 5
Chicago,"Schubert, Franz",Song of the Spirits over the Waters
Cleveland,"Schubert, Franz",Symphony No. 6
Colorado Springs,"Schubert, Franz",Symphony No. 5
Dallas,"Schubert, Franz",Symphony No. 9
Detroit,"Schubert, Franz",Symphony no. 1
Knoxville,"Schubert, Franz",Symphony No. 5
Knoxville,"Schubert, Franz",Symphony No. 8 (unfinished)
Las Colinas,"Schubert, Franz",Overture to The Faithful Soldier
Los Angeles Chamber,"Schubert, Franz",Symphony No. 9
National,"Schubert, Franz",Symphony No. 9
Oregon,"Schubert, Franz",Symphony No. 8 (unfinished)
Oregon,"Schubert, Franz",Symphony No. 9
Pacific,"Schubert, Franz",Symphony No. 9
Philadelphia,"Schubert, Franz",Symphony No. 8
Rochester,"Schubert, Franz",Symphony No. 5
San Francisco,"Schubert, Franz",Symphony No. 9
St. Louis,"Schubert, Franz",Symphony No. 8
St. Paul Chamber,"Schubert, Franz",Symphony No. 6
Utah,"Schubert, Franz",Overture to The Magic Harp
York,"Schubert, Franz",Symphony No. 8 (unfinished)
Atlanta,"Schumann, Clara",Piano Concerto
Memphis,"Schumann, Clara",Piano Concerto
Sarasota,"Schumann, Clara",Piano Concerto
Albany,"Schumann, Robert",Symphony No. 3
Arkansas,"Schumann, Robert",Unknown Piece
Atlanta,"Schumann, Robert",Cello Concerto in A minor
Baltimore,"Schumann, Robert",Symphony No. 3
California,"Schumann, Robert","Overture, Scherzo, and Finale"
Charlotte,"Schumann, Robert",Symphony No. 4
Chicago,"Schumann, Robert",Piano Concerto
Colorado,"Schumann, Robert",Symphony No. 1
Colorado Springs,"Schumann, Robert",Konzertstück for Four Horns
Detroit,"Schumann, Robert",Symphony No. 2
Detroit,"Schumann, Robert",Symphony No. 3
Kansas City,"Schumann, Robert",Manfred Overture
Kansas City,"Schumann, Robert",Symphony No. 4
Knoxville,"Schumann, Robert",Symphony No. 4
Las Colinas,"Schumann, Robert","Overture, Scherzo, and Finale"
Las Colinas,"Schumann, Robert",Piano Concerto
Los Angeles,"Schumann, Robert",Piano Concerto
Louisiana,"Schumann, Robert",Piano Concerto
Minnesota,"Schumann, Robert",Symphony No. 3
Naples,"Schumann, Robert",Piano Concerto
Naples,"Schumann, Robert",Symphony No. 3
National,"Schumann, Robert",Symphony No. 3
New Jersey,"Schumann, Robert",Genoveva Overture
New York,"Schumann, Robert",Piano Concerto
New York,"Schumann, Robert",Symphony No. 1
New York,"Schumann, Robert",Symphony No. 4
New York,"Schumann, Robert",Violin Concerto in D Minor
North Carolina,"Schumann, Robert",Piano Concerto
Oregon,"Schumann, Robert",Symphony No. 4
Orlando,"Schumann, Robert",Symphony No. 1
Orlando,"Schumann, Robert",Symphony No. 2
Philadelphia,"Schumann, Robert",Symphony No. 2
Rochester,"Schumann, Robert",Manfred Overture
Rockford,"Schumann, Robert",Piano Concerto
San Antonio,"Schumann, Robert",Symphony No. 1
San Diego,"Schumann, Robert",Piano Concerto
San Francisco,"Schumann, Robert",Piano Concerto
San Francisco,"Schumann, Robert",Symphony No. 4
Seattle,"Schumann, Robert",Konzertstück for Four Horns
Seattle,"Schumann, Robert",Symphony No. 3
Spokane,"Schumann, Robert",Piano Concerto
Tucson,"Schumann, Robert",Symphony No. 1
Utah,"Schumann, Robert",Genoveva Overture
Utah,"Schumann, Robert",Symphony No. 1
Wichita,"Schumann, Robert",Symphony No. 3
Detroit,"Schwantner, Joseph",Concerto for Violin and Orchestra (World Premiere)
Long Beach,"Schwartz, Nan",Romanza
Cleveland,"Schwertsik, Kurt",Herr K. entdeckt Amerika
River Oaks,"Scofano, Richard",La tierra sin mal (world premiere)
Boston,"Scriabin, Alexander","Prometheus, The Poem of Fire"
Cleveland,"Scriabin, Alexander",Symphony No. 2
Florida,"Scriabin, Alexander",The Poem of Ecstasy
Los Angeles,"Scriabin, Alexander","Prometheus, The Poem of Fire"
Pacific,"Scriabin, Alexander",The Poem of Ecstasy
San Francisco,"Scriabin, Alexander","Prometheus, The Poem of Fire"
Oregon,"Šerkšnytė, Raminta",Fires
Philadelphia,"Šerkšnytė, Raminta",De Profundis
Hartford,"Shankar, Ravi",Concerto for Sitar and Orchestra no. 1
Quad City,"Shatin, Judith",Piping the Earth
New York,"Shaw, Caroline",New Work
North Carolina,"Shaw, Caroline",Entr'acte
Richmond,"Shaw, Caroline",Entr'acte
San Francisco,"Shaw, Caroline",Entr'acte
Santa Rosa,"Shaw, Caroline",Entr'acte
South Bend,"Shaw, Caroline",Observatory
St. Louis,"Shaw, Caroline",Entr'acte
Louisiana,"Shchedrin, Rodion",Carmen Suite
Spokane,"Shchedrin, Rodion",Beethoven's Heiligenstadt Testament
Tucson,"Shchedrin, Rodion",Carmen Suite
Albany,"Shekhar, Nina",New Work (world premiere)
Los Angeles,"Shin, Donghoon",New Work
Los Angeles Chamber,"Shin, Peter S.",New Work
Alabama,"Shostakovich, Dmitri",Symphony No. 12
Arkansas,"Shostakovich, Dmitri",Unknown Piece
Atlanta,"Shostakovich, Dmitri",Cello Concerto No. 1
Atlanta,"Shostakovich, Dmitri",Violin Concerto No. 1
Baltimore,"Shostakovich, Dmitri",Incidental Music to Hamlet
Baltimore,"Shostakovich, Dmitri",Symphony No. 10
Boston,"Shostakovich, Dmitri",Lady Macbeth of Mtsensk
Boston,"Shostakovich, Dmitri",Symphony No. 13
California,"Shostakovich, Dmitri",Symphony No. 5
Charlotte,"Shostakovich, Dmitri",Symphony No. 9
Charlotte,"Shostakovich, Dmitri",Violin Concerto No. 1
Chattanooga,"Shostakovich, Dmitri",Symphony No. 5
Chicago,"Shostakovich, Dmitri",Piano Concerto No. 2
Chicago,"Shostakovich, Dmitri",Symphony No. 10
Chicago,"Shostakovich, Dmitri",Symphony No. 12
Chicago,"Shostakovich, Dmitri",Violin Concerto No. 2
Cincinnati,"Shostakovich, Dmitri",Piano Concerto No. 2
Cincinnati,"Shostakovich, Dmitri",Symphony No. 4
Cleveland,"Shostakovich, Dmitri",Cello Concerto No. 2
Cleveland,"Shostakovich, Dmitri",Symphony No. 8
Colorado,"Shostakovich, Dmitri",Symphony No. 5
Colorado,"Shostakovich, Dmitri",Violin Concerto No. 1
Colorado Springs,"Shostakovich, Dmitri",Symphony No. 11
Columbus,"Shostakovich, Dmitri",Symphony No. 10
Dallas,"Shostakovich, Dmitri",Symphony No. 5
Dallas,"Shostakovich, Dmitri",Symphony No. 8
Des Moines,"Shostakovich, Dmitri",Symphony No. 5
Detroit,"Shostakovich, Dmitri",Symphony No. 6
Evansville,"Shostakovich, Dmitri",Cello Concerto No. 1
Evansville,"Shostakovich, Dmitri",Symphony No. 5
Fort Worth,"Shostakovich, Dmitri",Violin Concerto No. 1
Grand Rapids,"Shostakovich, Dmitri",Cello Concerto No. 1
Grand Rapids,"Shostakovich, Dmitri",Symphony No. 1
Harrisburg,"Shostakovich, Dmitri",Symphony No. 7
Houston,"Shostakovich, Dmitri",Symphony No. 4
Houston,"Shostakovich, Dmitri",Violin Concerto No. 1
Indianapolis,"Shostakovich, Dmitri",Symphony No. 5
Indianapolis,"Shostakovich, Dmitri",Violin Concerto No. 1
Kansas City,"Shostakovich, Dmitri",Symphony No. 5
Louisiana,"Shostakovich, Dmitri",Piano Concerto No. 1
Minnesota,"Shostakovich, Dmitri",Symphony No. 1
Minnesota,"Shostakovich, Dmitri",Symphony No. 5
Minnesota,"Shostakovich, Dmitri",Violin Concerto No. 1
National,"Shostakovich, Dmitri",Piano Concerto No. 1
National,"Shostakovich, Dmitri",Symphony No. 10
National,"Shostakovich, Dmitri",Violin Concerto No. 1
New Jersey,"Shostakovich, Dmitri",Symphony No. 9
New York,"Shostakovich, Dmitri",Symphony No. 10
New York,"Shostakovich, Dmitri",Symphony No. 9
North Carolina,"Shostakovich, Dmitri",Symphony No. 1
Oregon,"Shostakovich, Dmitri",Symphony No. 6
Orlando,"Shostakovich, Dmitri",Violin Concerto No. 1
Philadelphia,"Shostakovich, Dmitri",Symphony No. 5
Philadelphia,"Shostakovich, Dmitri",Symphony No. 8
Phoenix,"Shostakovich, Dmitri",Symphony No. 5
Pittsburgh,"Shostakovich, Dmitri",Symphony No. 10
Pittsburgh,"Shostakovich, Dmitri",Symphony No. 4
Quad City,"Shostakovich, Dmitri",Violin Concerto No. 1
Reading,"Shostakovich, Dmitri",Cello Concerto No. 1
Rockford,"Shostakovich, Dmitri",Symphony No. 5
San Antonio,"Shostakovich, Dmitri",Symphony No. 5
San Diego,"Shostakovich, Dmitri",Symphony No. 5
San Diego,"Shostakovich, Dmitri",Symphony No. 8
San Francisco,"Shostakovich, Dmitri",Cello Concerto No. 1
San Francisco,"Shostakovich, Dmitri",Symphony No. 15
Seattle,"Shostakovich, Dmitri",Piano Concerto No. 1
Toledo,"Shostakovich, Dmitri",Piano Concerto No. 2 (arr. brass quintet)
Toledo,"Shostakovich, Dmitri",Symphony No. 5
Utah,"Shostakovich, Dmitri",Symphony No. 5
Virginia,"Shostakovich, Dmitri",Cello Concerto No. 1
Virginia,"Shostakovich, Dmitri",Symphony No. 10
West Virginia,"Shostakovich, Dmitri",Symphony No. 5
Des Moines,"Shostakovich, Dmitri (arr. Atovmian, Levon)",Romance from The Gadfly
Alabama,"Sibelius, Jean",Finlandia
Ann Arbor,"Sibelius, Jean",Violin Concerto
Atlanta,"Sibelius, Jean",Symphony No. 2
Atlanta,"Sibelius, Jean",Symphony No. 5
Augusta,"Sibelius, Jean",Symphony No. 2
Austin,"Sibelius, Jean",Violin Concerto
Boston,"Sibelius, Jean",Symphony No. 1
Boston,"Sibelius, Jean",Symphony No. 3
Boston,"Sibelius, Jean",Symphony No. 4
Boston,"Sibelius, Jean",The Swan of Tuonela
Canton,"Sibelius, Jean",Karelia Suite - Alla Marcia
Chattanooga,"Sibelius, Jean",Symphony No. 2
Chicago,"Sibelius, Jean",Symphony No. 2
Cincinnati,"Sibelius, Jean",Symphony No. 1
Cleveland,"Sibelius, Jean",Symphony No. 7
Dallas,"Sibelius, Jean",Evening in Spring from Suite Op. 117
Dallas,"Sibelius, Jean",Symphony No. 1
Dallas,"Sibelius, Jean",Violin Concerto
Des Moines,"Sibelius, Jean",Symphony No. 7
Detroit,"Sibelius, Jean",Pohjola's Daughter op. 49
Elgin,"Sibelius, Jean",Symphony No. 2
Grant Park,"Sibelius, Jean",Finlandia
Grant Park,"Sibelius, Jean",Symphony No. 5
Harrisburg,"Sibelius, Jean",Symphony No. 1
Houston,"Sibelius, Jean",Symphony No. 5
Houston,"Sibelius, Jean",Violin Concerto
Kansas City,"Sibelius, Jean",Violin Concerto
Knoxville,"Sibelius, Jean",Symphony No. 5
Los Angeles,"Sibelius, Jean",Symphony No. 7
Los Angeles,"Sibelius, Jean",Violin Concerto
Louisiana,"Sibelius, Jean",Symphony No. 2
Louisville,"Sibelius, Jean",Symphony No. 2
Madison,"Sibelius, Jean",Violin Concerto
Memphis,"Sibelius, Jean",Violin Concerto
Milwaukee,"Sibelius, Jean",Night Ride and Sunrise
Milwaukee,"Sibelius, Jean",Symphony No. 4
Minnesota,"Sibelius, Jean",Finlandia
Minnesota,"Sibelius, Jean",Violin Concerto
Naples,"Sibelius, Jean",Symphony No. 5
Nashville,"Sibelius, Jean",The Swan of Tuonela
New York,"Sibelius, Jean",Finlandia
New York,"Sibelius, Jean",Symphony No. 5
New York,"Sibelius, Jean",Symphony No. 7
New York,"Sibelius, Jean",The Oceanides
Oklahoma City,"Sibelius, Jean",Symphony No. 5
Pacific,"Sibelius, Jean",Violin Concerto
Philadelphia,"Sibelius, Jean",Symphony no. 6
Pittsburgh,"Sibelius, Jean",Symphony No. 7
Pittsburgh,"Sibelius, Jean",The Oceanides
Portland,"Sibelius, Jean",Symphony No. 1
Princeton,"Sibelius, Jean",Valse Triste
Princeton,"Sibelius, Jean",Violin Concerto
River Oaks,"Sibelius, Jean",The Tempest
Rochester,"Sibelius, Jean",En Saga
Rockford,"Sibelius, Jean",Symphony No. 1
San Antonio,"Sibelius, Jean",Symphony No. 5
San Antonio,"Sibelius, Jean",Violin Concerto
San Francisco,"Sibelius, Jean",Symphony No. 1
San Francisco,"Sibelius, Jean",Symphony No. 4
San Francisco,"Sibelius, Jean",The Swan of Tuonela
Spokane,"Sibelius, Jean",Violin Concerto
St. Louis,"Sibelius, Jean",Symphony No. 2
St. Louis,"Sibelius, Jean",Violin Concerto
St. Paul Chamber,"Sibelius, Jean",Romance for Strings
Stamford,"Sibelius, Jean",Symphony No. 2
Tacoma,"Sibelius, Jean",Symphony No. 5
Tucson,"Sibelius, Jean",Symphony No. 5
Tulsa,"Sibelius, Jean",Karelia Suite
West Virginia,"Sibelius, Jean",Finlandia
Utah,"Sierra, Arlene",Aquilo
Utah,"Sierra, Arlene",Bird Symphony (world premiere)
Utah,"Sierra, Arlene",Nature Symphony
Colorado Springs,"Sierra, Roberto",Fandangos
Nashville,Sihyun Uhm,Ladybug in the Room
Spokane,"Silvestrov, Valentin",Stille Musik
Ann Arbor,"Simon, Carlos",Fate Now Conquers
Cape,"Singer, Tonya Wind",Wampanoag: Stories for all time
Detroit,"Skipworth, Lachlan",Hinterland
Augusta,"Smetana, Bedřich",The Moldau
Long Beach,"Smetana, Bedřich","Šárka, from Má vlast"
Milwaukee,"Smetana, Bedřich",The Moldau
West Virginia,"Smetana, Bedřich",The Moldau
Naples,"Smetana, Bedřich (arr. Szell, George)",From my Life
Cleveland,"Smith, Gabriella",Tumblebird Contrails
Kansas City,"Smith, Gabriella",Field Guide
Los Angeles,"Smith, Gabriella",Tumblebird Contrails
Pasadena,"Smith, Gabriella",Brandenburg Interstices
Santa Rosa,"Smith, Gabriella",Commissioned Work (First Symphony Project)
Santa Rosa,"Smith, Gabriella",Tumblebird Contrails
Sarasota,"Smith, Gabriella",Field Guide
Minnesota,"Smith, John Stafford",The Star-Spangled Banner
Orlando,"Smith, John Stafford",The Star-Spangled Banner
North Carolina,"Smith, Linda Catlin",Wilderness
Phoenix,"Snider, Sarah Kirkland",Something for the Dark
Princeton,"Snider, Sarah Kirkland",Something for the Dark
Minnesota,"Sørensen, Bent",Evening Land
St. Louis,"Sørensen, Bent",Evening Land
Detroit,"Sorey, Tyshawn",Concerto for Violin and Orchestra
New Jersey,"Sorey, Tyshawn",New work for Violin and Orchestra (world premiere)
Orlando,"Sousa, John Phillip",The Stars and Stripes Forever
Atlanta,"Spiva Jr., Derrick","Prisms, cycles, leaps Part I"
Chicago,"Stenhammar, Wilhelm","Interlude, from The Song"
Austin,"Still, William Grant",Symphony No. 5
Boston,"Still, William Grant",Symphony No. 4
Hartford,"Still, William Grant",Darker America
Kansas City,"Still, William Grant",Poem for Orchestra
Los Angeles,"Still, William Grant",Darker America
Louisiana,"Still, William Grant",Symphony No. 4
Milwaukee,"Still, William Grant",Out of the Silence
Quad City,"Still, William Grant",Danzas de Panama
Richmond,"Still, William Grant",Festive Overture
Santa Rosa,"Still, William Grant",Darker America
Wichita,Strauss family,"Selected Waltzes, Polkas etc"
Colorado,"Strauss, Johann",Overture to Die Fledermaus
Columbus,"Strauss, Johann",Emperor Waltzes
Pittsburgh,"Strauss, Johann",Unnammed works (est.)
Virginia,"Strauss, Johann","Csardas from ""Ritter Pasman"""
Alabama,"Strauss, Richard",Till Eulenspiegel's Merry Pranks
Albany,"Strauss, Richard",Don Juan
Amarillo,"Strauss, Richard",Four Last Songs
Ann Arbor,"Strauss, Richard",Der Rosenkavalier Suite
Arkansas,"Strauss, Richard",Unknown Piece
Baltimore,"Strauss, Richard",Der Rosenkavalier Suite
Boston,"Strauss, Richard",Death and Transfiguration
Boston,"Strauss, Richard",Don Juan
Boston,"Strauss, Richard",Four Last Songs
Boston,"Strauss, Richard",Romance for Cello and Orchestra
Boston,"Strauss, Richard",Symphonic Fantasy from Die Frau ohne Schatten
Canton,"Strauss, Richard",Horn Concerto no. 1
Charleston,"Strauss, Richard",Le bourgeois gentilhomme
Chattanooga,"Strauss, Richard",Till Eulenspiegel's Merry Pranks
Chicago,"Strauss, Richard",Alpine Symphony
Chicago,"Strauss, Richard",Der Rosenkavalier Suite
Chicago,"Strauss, Richard",Don Juan
Chicago,"Strauss, Richard",Symphonic Interlude no. 2 from Intermezzo
Cincinnati,"Strauss, Richard",Der Rosenkavalier Suite
Cincinnati,"Strauss, Richard",Ein Heldenleben
Cleveland,"Strauss, Richard",Alpine Symphony
Cleveland,"Strauss, Richard",Also Sprach Zarathustra
Cleveland,"Strauss, Richard",Don Juan
Cleveland,"Strauss, Richard",Macbeth
Cleveland,"Strauss, Richard",Till Eulenspiegel's Merry Pranks
Colorado,"Strauss, Richard",Der Rosenkavalier Suite
Colorado Springs,"Strauss, Richard",Don Quixote
Columbus,"Strauss, Richard",Der Rosenkavalier Suite
Columbus,"Strauss, Richard",Horn Concerto no. 1
Dallas,"Strauss, Richard",Also Sprach Zarathustra
Dallas,"Strauss, Richard",Four Last Songs
Detroit,"Strauss, Richard",Four Last Songs
Detroit,"Strauss, Richard",Till Eulenspiegel's Merry Pranks
Elgin,"Strauss, Richard",Don Juan
Elgin,"Strauss, Richard",Don Quixote
Florida,"Strauss, Richard",Alpine Symphony
Grand Rapids,"Strauss, Richard",Also Sprach Zarathustra
Greensboro,"Strauss, Richard",Also Sprach Zarathustra
Greensboro,"Strauss, Richard",Don Quixote
Hartford,"Strauss, Richard",Der Rosenkavalier Suite
Houston,"Strauss, Richard",Ein Heldenleben
Indianapolis,"Strauss, Richard",Don Juan
Indianapolis,"Strauss, Richard",Till Eulenspiegel's Merry Pranks
Kansas City,"Strauss, Richard",Don Juan
Kansas City,"Strauss, Richard",Ein Heldenleben
Knoxville,"Strauss, Richard",Salome's Dance
Long Beach,"Strauss, Richard",Don Quixote
Los Angeles,"Strauss, Richard",Death and Transfiguration
Los Angeles,"Strauss, Richard",Four Last Songs
Louisiana,"Strauss, Richard",Don Juan
Louisville,"Strauss, Richard",Don Juan
Milwaukee,"Strauss, Richard",Eine Alpensinfonie
Milwaukee,"Strauss, Richard",Metamorphosen
Milwaukee,"Strauss, Richard",Serenade in Eflat Major (Winds)
Minnesota,"Strauss, Richard",Symphonia domestica
Nashville,"Strauss, Richard",Ein Heldenleben
New York,"Strauss, Richard",Burlesque
New York,"Strauss, Richard",Wind Serenade
Oklahoma City,"Strauss, Richard",Also Sprach Zarathustra
Omaha,"Strauss, Richard",Don Juan
Oregon,"Strauss, Richard",Don Juan
Oregon,"Strauss, Richard",Till Eulenspiegel's Merry Pranks
Orlando,"Strauss, Richard",Ein Heldenleben
Pacific,"Strauss, Richard",Death and Transfiguration
Pasadena,"Strauss, Richard",Don Juan
Philadelphia,"Strauss, Richard",Don Juan
Pittsburgh,"Strauss, Richard",Also Sprach Zarathustra
Plano,"Strauss, Richard",Don Juan
Rochester,"Strauss, Richard",Death and Transfiguration
Rochester,"Strauss, Richard",Metamorphosen
Rockford,"Strauss, Richard",Don Juan
San Antonio,"Strauss, Richard",Don Quixote
San Diego,"Strauss, Richard",Four Last Songs
San Diego,"Strauss, Richard",Till Eulenspiegel's Merry Pranks
San Francisco,"Strauss, Richard",Ein Heldenleben
San Francisco,"Strauss, Richard",Elektra Op. 58
San Francisco,"Strauss, Richard",Four Last Songs
Seattle,"Strauss, Richard",Le bourgeois gentilhomme
South Dakota,"Strauss, Richard",Horn Concerto no. 2
Spokane,"Strauss, Richard",Der Rosenkavalier Suite
Spokane,"Strauss, Richard",Don Juan
St. Louis,"Strauss, Richard",Dance of the Seven Veils
St. Paul Chamber,"Strauss, Richard",Serenade in Eflat Major (Winds)
Toledo,"Strauss, Richard",Don Juan
Tucson,"Strauss, Richard",Duet Concertino for Clarinet and Bassoon
Tucson,"Strauss, Richard",Ein Heldenleben
Utah,"Strauss, Richard",Ein Heldenleben
Utah,"Strauss, Richard",Symphonic Fantasy from Die Frau ohne Schatten
Wichita,"Strauss, Richard",Don Quixote
Pittsburgh,"Strauss, Richard (arr. Honeck/Ille)",Salome: Suite for Orchestra
Arkansas,"Stravinsky, Igor",Firebird Suite
Atlanta,"Stravinsky, Igor",Petrushka
Austin,"Stravinsky, Igor",Firebird Suite
Baltimore,"Stravinsky, Igor",Petrushka
Baltimore,"Stravinsky, Igor",Rite of Spring
Boston,"Stravinsky, Igor",Firebird Suite
Boston,"Stravinsky, Igor",Petrushka
Boston,"Stravinsky, Igor",Rite of Spring
Buffalo,"Stravinsky, Igor",Petrushka
California,"Stravinsky, Igor",Concerto for Piano and Wind Instruments
California,"Stravinsky, Igor",Firebird Suite
Charleston,"Stravinsky, Igor",Petrushka
Charlotte,"Stravinsky, Igor",Rite of Spring
Chicago,"Stravinsky, Igor",Rite of Spring
Cincinnati,"Stravinsky, Igor",Firebird Suite
Cleveland,"Stravinsky, Igor",Concerto in D
Cleveland,"Stravinsky, Igor",Rite of Spring
Colorado,"Stravinsky, Igor",Petrushka
Columbus,"Stravinsky, Igor",Pulcinella
Dallas,"Stravinsky, Igor",Rite of Spring
Detroit,"Stravinsky, Igor",Le Chant du Rossignol
Detroit,"Stravinsky, Igor",Rite of Spring
Erie,"Stravinsky, Igor",Firebird Suite
Evansville,"Stravinsky, Igor",Petrushka
Fort Worth,"Stravinsky, Igor",Petrushka
Grand Rapids,"Stravinsky, Igor",Petrushka
Harrisburg,"Stravinsky, Igor",Pulcinella
Hartford,"Stravinsky, Igor",Firebird Suite
Indianapolis,"Stravinsky, Igor","Concerto in E-Flat Major ""Dumbarton Oaks"" "
Indianapolis,"Stravinsky, Igor",Firebird Suite
Indianapolis,"Stravinsky, Igor",Funeral Song
Kansas City,"Stravinsky, Igor",Petrushka
Long Beach,"Stravinsky, Igor",Firebird Suite
Los Angeles,"Stravinsky, Igor",Violin Concerto
Louisiana,"Stravinsky, Igor",Firebird Suite
Louisville,"Stravinsky, Igor",Funeral Song
Madison,"Stravinsky, Igor",Rite of Spring
Milwaukee,"Stravinsky, Igor","Concerto in E-Flat Major ""Dumbarton Oaks"" "
Minnesota,"Stravinsky, Igor",Firebird Suite
Nashville,"Stravinsky, Igor",Symphony in Three Movements
National,"Stravinsky, Igor",Oedipus Rex
National,"Stravinsky, Igor",Perséphone
National,"Stravinsky, Igor",Rite of Spring
New York,"Stravinsky, Igor",Pulcinella
North Carolina,"Stravinsky, Igor",Petrushka
Omaha,"Stravinsky, Igor",Petrushka
Philadelphia,"Stravinsky, Igor",Petrushka
Philadelphia,"Stravinsky, Igor",Rite of Spring
Pittsburgh,"Stravinsky, Igor",Rite of Spring
Princeton,"Stravinsky, Igor",Firebird Suite
Princeton,"Stravinsky, Igor",Pulcinella
Richmond,"Stravinsky, Igor",Dumbarton Oaks (Concerto in E-flat)
Rochester,"Stravinsky, Igor",Dumbarton Oaks (Concerto in E-flat)
San Antonio,"Stravinsky, Igor",Firebird Suite
San Antonio,"Stravinsky, Igor",Violin Concerto
San Diego,"Stravinsky, Igor",Firebird Suite
San Diego,"Stravinsky, Igor",Scherzo fantastique
San Francisco,"Stravinsky, Igor",Rite of Spring
Sarasota,"Stravinsky, Igor",Petrushka
Seattle,"Stravinsky, Igor",Firebird Suite
Seattle,"Stravinsky, Igor",Petrushka
Silicon Valley,"Stravinsky, Igor",Symphony in Three Movements
Spokane,"Stravinsky, Igor",Rite of Spring
St. Louis,"Stravinsky, Igor",Firebird Suite
Toledo,"Stravinsky, Igor",Pulcinella
Tucson,"Stravinsky, Igor",Petrushka
Tulsa,"Stravinsky, Igor",Dumbarton Oaks (Concerto in E-flat)
Tulsa,"Stravinsky, Igor",Petrushka
Utah,"Stravinsky, Igor",Agon
Utah,"Stravinsky, Igor",Le Chant du Rossignol
Utah,"Stravinsky, Igor",Petrushka
Wisconsin Chamber,"Stravinsky, Igor",Septet
San Antonio,"Stucky, Steven",Son et Lumiere
Austin,"Suk, Josef","Scherzo Fantastique, op. 25"
Grant Park,"Suk, Josef",Fairy Tale
Orpheus,"Suk, Josef",Serenade for Strings
Portland,"Suk, Josef",Fairy Tale
Seattle,"Suk, Josef","Meditation on the old Czech Chorale ""Saint Wenceslas"""
Canton,"Suppé, Franz von",Overture to Poet and Peasant
Reading,"Suppé, Franz von",Overture to Light Cavalry
River Oaks,"Surinach, Carlos",Ritmo Jondo
Milwaukee,"Susato, Tielman",Rennaissance Dances
Cleveland,"Szymanowski, Karol",Violin Concerto no. 1
National,"Szymanowski, Karol",Stabat Mater
New York,"Szymanowski, Karol",Violin Concerto no. 1
North Carolina,"Szymanowski, Karol",Violin Concerto no. 1
Philadelphia,"Szymanowski, Karol",Violin Concerto no. 1
St. Louis,"Szymanowski, Karol",Violin Concerto No. 2
Atlanta,Takemitsu,Ceremonial: An Autumn Ode
Milwaukee,Takemitsu,From Me Flows What You Call Time
Fort Worth,"Talbot, Joby",In Dark Moon
Pacific,"Tallis, Thomas",Spem in Allium
San Diego,Tan Dun,Water Concerto
San Francisco,Tan Dun,"Crouching Tiger, Hidden Dragon"
Seattle,Tan Dun,Buddha Passion
St. Louis,Tan Dun,Nu Shu—The Secret Songs of Women
Toledo,Tan Dun,Water Concerto
Tacoma,"Tanaka, Karen",Frozen Horizon
Tacoma,"Tanaka, Karen",Rose Absolute
New Jersey,"Tao, Conrad",Spoonfuls
Phoenix,"Tao, Conrad",Oneiroi
Boston,"Tarkiainen, Outi",Midnight Sun Variations
St. Louis,"Tarrodi, Andrea",Liguria
Allentown,"TBD, TBD",New Work
St. Louis,"TBD, TBD",New Work
Alabama,"Tchaikovsky, Peter Ilich",Violin Concerto
